"perf_metric","perf_metric_diff","pvalue","names","method","perf_metric_name","seed"
1,0,1,"V1222","glmnet","AUC",NA
1,0,1,"V1223","glmnet","AUC",NA
1,0,1,"V1224","glmnet","AUC",NA
1,0,1,"V1225","glmnet","AUC",NA
1,0,1,"V1226","glmnet","AUC",NA
1,0,1,"V1227","glmnet","AUC",NA
1,0,1,"V1228","glmnet","AUC",NA
1,0,1,"V1229","glmnet","AUC",NA
1,0,1,"V123","glmnet","AUC",NA
1,0,1,"V1230","glmnet","AUC",NA
1,0,1,"V1231","glmnet","AUC",NA
1,0,1,"V1232","glmnet","AUC",NA
1,0,1,"V1233","glmnet","AUC",NA
1,0,1,"V1234","glmnet","AUC",NA
1,0,1,"V1235","glmnet","AUC",NA
1,0,1,"V1236","glmnet","AUC",NA
1,0,1,"V1237","glmnet","AUC",NA
1,0,1,"V1238","glmnet","AUC",NA
1,0,1,"V1239","glmnet","AUC",NA
1,0,1,"V124","glmnet","AUC",NA
1,0,1,"V1240","glmnet","AUC",NA
1,0,1,"V1241","glmnet","AUC",NA
1,0,1,"V1242","glmnet","AUC",NA
1,0,1,"V1243","glmnet","AUC",NA
1,0,1,"V1244","glmnet","AUC",NA
1,0,1,"V1245","glmnet","AUC",NA
1,0,1,"V1246","glmnet","AUC",NA
1,0,1,"V1247","glmnet","AUC",NA
1,0,1,"V1248","glmnet","AUC",NA
1,0,1,"V1249","glmnet","AUC",NA
1,0,1,"V125","glmnet","AUC",NA
1,0,1,"V1250","glmnet","AUC",NA
1,0,1,"V1251","glmnet","AUC",NA
1,0,1,"V1252","glmnet","AUC",NA
1,0,1,"V1253","glmnet","AUC",NA
1,0,1,"V1254","glmnet","AUC",NA
1,0,1,"V1255","glmnet","AUC",NA
1,0,1,"V1256","glmnet","AUC",NA
1,0,1,"V1257","glmnet","AUC",NA
1,0,1,"V1258","glmnet","AUC",NA
1,0,1,"V1259","glmnet","AUC",NA
1,0,1,"V126","glmnet","AUC",NA
1,0,1,"V1260","glmnet","AUC",NA
1,0,1,"V1261","glmnet","AUC",NA
1,0,1,"V1262","glmnet","AUC",NA
1,0,1,"V1263","glmnet","AUC",NA
1,0,1,"V1264","glmnet","AUC",NA
1,0,1,"V1265","glmnet","AUC",NA
1,0,1,"V1266","glmnet","AUC",NA
1,0,1,"V1267","glmnet","AUC",NA
1,0,1,"V1268","glmnet","AUC",NA
1,0,1,"V1269","glmnet","AUC",NA
1,0,1,"V127","glmnet","AUC",NA
1,0,1,"V1270","glmnet","AUC",NA
1,0,1,"V1271","glmnet","AUC",NA
1,0,1,"V1272","glmnet","AUC",NA
1,0,1,"V1273","glmnet","AUC",NA
1,0,1,"V1274","glmnet","AUC",NA
1,0,1,"V1275","glmnet","AUC",NA
1,0,1,"V1276","glmnet","AUC",NA
1,0,1,"V1277","glmnet","AUC",NA
1,0,1,"V1278","glmnet","AUC",NA
1,0,1,"V1279","glmnet","AUC",NA
1,0,1,"V128","glmnet","AUC",NA
1,0,1,"V1280","glmnet","AUC",NA
1,0,1,"V1281","glmnet","AUC",NA
1,0,1,"V1282","glmnet","AUC",NA
1,0,1,"V1283","glmnet","AUC",NA
1,0,1,"V1284","glmnet","AUC",NA
1,0,1,"V1285","glmnet","AUC",NA
1,0,1,"V1286","glmnet","AUC",NA
1,0,1,"V1287","glmnet","AUC",NA
1,0,1,"V1288","glmnet","AUC",NA
1,0,1,"V1289","glmnet","AUC",NA
1,0,1,"V129","glmnet","AUC",NA
1,0,1,"V1290","glmnet","AUC",NA
1,0,1,"V1291","glmnet","AUC",NA
1,0,1,"V1292","glmnet","AUC",NA
1,0,1,"V1293","glmnet","AUC",NA
1,0,1,"V1294","glmnet","AUC",NA
1,0,1,"V1295","glmnet","AUC",NA
1,0,1,"V1296","glmnet","AUC",NA
1,0,1,"V1297","glmnet","AUC",NA
1,0,1,"V1298","glmnet","AUC",NA
1,0,1,"V1299","glmnet","AUC",NA
1,0,1,"V13","glmnet","AUC",NA
1,0,1,"V130","glmnet","AUC",NA
1,0,1,"V1300","glmnet","AUC",NA
1,0,1,"V1301","glmnet","AUC",NA
1,0,1,"V1302","glmnet","AUC",NA
1,0,1,"V1303","glmnet","AUC",NA
1,0,1,"V1304","glmnet","AUC",NA
1,0,1,"V1305","glmnet","AUC",NA
1,0,1,"V1306","glmnet","AUC",NA
1,0,1,"V1307","glmnet","AUC",NA
1,0,1,"V1308","glmnet","AUC",NA
1,0,1,"V1309","glmnet","AUC",NA
1,0,1,"V131","glmnet","AUC",NA
1,0,1,"V1310","glmnet","AUC",NA
1,0,1,"V1311","glmnet","AUC",NA
1,0,1,"V1312","glmnet","AUC",NA
1,0,1,"V1313","glmnet","AUC",NA
1,0,1,"V1314","glmnet","AUC",NA
1,0,1,"V1315","glmnet","AUC",NA
1,0,1,"V1316","glmnet","AUC",NA
1,0,1,"V1317","glmnet","AUC",NA
1,0,1,"V1318","glmnet","AUC",NA
1,0,1,"V1319","glmnet","AUC",NA
1,0,1,"V132","glmnet","AUC",NA
1,0,1,"V1320","glmnet","AUC",NA
1,0,1,"V1321","glmnet","AUC",NA
1,0,1,"V1322","glmnet","AUC",NA
1,0,1,"V1323","glmnet","AUC",NA
1,0,1,"V1324","glmnet","AUC",NA
1,0,1,"V1325","glmnet","AUC",NA
1,0,1,"V1326","glmnet","AUC",NA
1,0,1,"V1327","glmnet","AUC",NA
1,0,1,"V1328","glmnet","AUC",NA
1,0,1,"V1329","glmnet","AUC",NA
1,0,1,"V133","glmnet","AUC",NA
1,0,1,"V1330","glmnet","AUC",NA
1,0,1,"V1331","glmnet","AUC",NA
1,0,1,"V1332","glmnet","AUC",NA
1,0,1,"V1333","glmnet","AUC",NA
1,0,1,"V1334","glmnet","AUC",NA
1,0,1,"V1335","glmnet","AUC",NA
1,0,1,"V1336","glmnet","AUC",NA
1,0,1,"V1337","glmnet","AUC",NA
1,0,1,"V1338","glmnet","AUC",NA
1,0,1,"V1339","glmnet","AUC",NA
1,0,1,"V134","glmnet","AUC",NA
1,0,1,"V1340","glmnet","AUC",NA
1,0,1,"V1341","glmnet","AUC",NA
1,0,1,"V1342","glmnet","AUC",NA
1,0,1,"V1343","glmnet","AUC",NA
1,0,1,"V1344","glmnet","AUC",NA
1,0,1,"V1345","glmnet","AUC",NA
1,0,1,"V1346","glmnet","AUC",NA
1,0,1,"V1347","glmnet","AUC",NA
1,0,1,"V1348","glmnet","AUC",NA
1,0,1,"V1349","glmnet","AUC",NA
1,0,1,"V135","glmnet","AUC",NA
1,0,1,"V1350","glmnet","AUC",NA
1,0,1,"V1351","glmnet","AUC",NA
1,0,1,"V1352","glmnet","AUC",NA
1,0,1,"V1353","glmnet","AUC",NA
1,0,1,"V1354","glmnet","AUC",NA
1,0,1,"V1355","glmnet","AUC",NA
1,0,1,"V1356","glmnet","AUC",NA
1,0,1,"V1357","glmnet","AUC",NA
1,0,1,"V1358","glmnet","AUC",NA
1,0,1,"V1359","glmnet","AUC",NA
1,0,1,"V136","glmnet","AUC",NA
1,0,1,"V1360","glmnet","AUC",NA
1,0,1,"V1361","glmnet","AUC",NA
1,0,1,"V1362","glmnet","AUC",NA
1,0,1,"V1363","glmnet","AUC",NA
1,0,1,"V1364","glmnet","AUC",NA
1,0,1,"V1365","glmnet","AUC",NA
1,0,1,"V1366","glmnet","AUC",NA
1,0,1,"V1367","glmnet","AUC",NA
1,0,1,"V1368","glmnet","AUC",NA
1,0,1,"V1369","glmnet","AUC",NA
1,0,1,"V137","glmnet","AUC",NA
1,0,1,"V1370","glmnet","AUC",NA
1,0,1,"V1371","glmnet","AUC",NA
1,0,1,"V1372","glmnet","AUC",NA
1,0,1,"V1373","glmnet","AUC",NA
1,0,1,"V1374","glmnet","AUC",NA
1,0,1,"V1375","glmnet","AUC",NA
1,0,1,"V1376","glmnet","AUC",NA
1,0,1,"V1377","glmnet","AUC",NA
1,0,1,"V1378","glmnet","AUC",NA
1,0,1,"V1379","glmnet","AUC",NA
1,0,1,"V138","glmnet","AUC",NA
1,0,1,"V1380","glmnet","AUC",NA
1,0,1,"V1381","glmnet","AUC",NA
1,0,1,"V1382","glmnet","AUC",NA
1,0,1,"V1383","glmnet","AUC",NA
1,0,1,"V1384","glmnet","AUC",NA
1,0,1,"V1385","glmnet","AUC",NA
1,0,1,"V1386","glmnet","AUC",NA
1,0,1,"V1387","glmnet","AUC",NA
1,0,1,"V1388","glmnet","AUC",NA
1,0,1,"V1389","glmnet","AUC",NA
1,0,1,"V139","glmnet","AUC",NA
1,0,1,"V1390","glmnet","AUC",NA
1,0,1,"V1391","glmnet","AUC",NA
1,0,1,"V1392","glmnet","AUC",NA
1,0,1,"V1393","glmnet","AUC",NA
1,0,1,"V1394","glmnet","AUC",NA
1,0,1,"V1395","glmnet","AUC",NA
1,0,1,"V1396","glmnet","AUC",NA
1,0,1,"V1397","glmnet","AUC",NA
1,0,1,"V1398","glmnet","AUC",NA
1,0,1,"V1399","glmnet","AUC",NA
1,0,1,"V14","glmnet","AUC",NA
1,0,1,"V140","glmnet","AUC",NA
1,0,1,"V1400","glmnet","AUC",NA
1,0,1,"V1401","glmnet","AUC",NA
1,0,1,"V1402","glmnet","AUC",NA
1,0,1,"V1403","glmnet","AUC",NA
1,0,1,"V1404","glmnet","AUC",NA
1,0,1,"V1405","glmnet","AUC",NA
1,0,1,"V1406","glmnet","AUC",NA
1,0,1,"V1407","glmnet","AUC",NA
1,0,1,"V1408","glmnet","AUC",NA
1,0,1,"V1409","glmnet","AUC",NA
1,0,1,"V141","glmnet","AUC",NA
1,0,1,"V1410","glmnet","AUC",NA
1,0,1,"V1411","glmnet","AUC",NA
1,0,1,"V1412","glmnet","AUC",NA
1,0,1,"V1413","glmnet","AUC",NA
1,0,1,"V1414","glmnet","AUC",NA
1,0,1,"V1415","glmnet","AUC",NA
1,0,1,"V1416","glmnet","AUC",NA
1,0,1,"V1417","glmnet","AUC",NA
1,0,1,"V1418","glmnet","AUC",NA
1,0,1,"V1419","glmnet","AUC",NA
1,0,1,"V142","glmnet","AUC",NA
1,0,1,"V1420","glmnet","AUC",NA
1,0,1,"V1421","glmnet","AUC",NA
1,0,1,"V1422","glmnet","AUC",NA
1,0,1,"V1423","glmnet","AUC",NA
1,0,1,"V1424","glmnet","AUC",NA
1,0,1,"V1425","glmnet","AUC",NA
1,0,1,"V1426","glmnet","AUC",NA
1,0,1,"V1427","glmnet","AUC",NA
1,0,1,"V1428","glmnet","AUC",NA
1,0,1,"V1429","glmnet","AUC",NA
1,0,1,"V143","glmnet","AUC",NA
1,0,1,"V1430","glmnet","AUC",NA
1,0,1,"V1431","glmnet","AUC",NA
1,0,1,"V1432","glmnet","AUC",NA
1,0,1,"V1433","glmnet","AUC",NA
1,0,1,"V1434","glmnet","AUC",NA
1,0,1,"V1435","glmnet","AUC",NA
1,0,1,"V1436","glmnet","AUC",NA
1,0,1,"V1437","glmnet","AUC",NA
1,0,1,"V1438","glmnet","AUC",NA
1,0,1,"V1439","glmnet","AUC",NA
1,0,1,"V144","glmnet","AUC",NA
1,0,1,"V1440","glmnet","AUC",NA
1,0,1,"V1441","glmnet","AUC",NA
1,0,1,"V1442","glmnet","AUC",NA
1,0,1,"V1443","glmnet","AUC",NA
1,0,1,"V1444","glmnet","AUC",NA
1,0,1,"V1445","glmnet","AUC",NA
1,0,1,"V1446","glmnet","AUC",NA
1,0,1,"V1447","glmnet","AUC",NA
